"","colors","POS","CIGAR","TLEN"
"1",163,4,"27S48M",132
"2",163,8,"28S47M",164
"3",99,3,"4S71M",188
"4",99,2,"4S71M",251
"5",99,3,"29S46M",422
"6",163,161,"8S67M",416
"7",163,452,"7S68M",158
"8",163,358,"1S74M",303
"9",163,730,"4S71M",217
"10",163,770,"8S67M",219
"11",99,899,"9S66M",199
"12",99,1002,"32S43M",167
"13",163,1138,"27S48M",138
"14",99,1190,"4S71M",162
"15",163,1138,"24S51M",279
"16",163,1970,"1S74M",228
"17",163,2082,"8S67M",178
"18",163,2020,"6S69M",278
"19",163,2652,"8S67M",208
"20",163,2574,"6S69M",422
"21",163,3099,"8S67M",234
"22",163,3173,"5S70M",207
"23",163,3154,"2S73M",417
"24",163,3422,"3S72M",218
"25",163,3498,"2S73M",153
"26",163,3572,"25S50M",194
"27",163,3641,"30S45M",181
"28",99,3806,"10S65M",220
"29",163,4114,"41S34M",190
"30",163,3957,"35S40M",422
"31",99,4173,"32S43M",272
"32",163,4179,"8S67M",348
"33",163,4415,"2S73M",185
"34",163,4348,"6S69M",274
"35",163,4685,"8S67M",171
"36",99,4786,"4S71M",235
"37",163,4805,"6S69M",260
"38",163,4728,"1S74M",346
"39",163,4764,"3S72M",316
"40",99,4851,"32S43M",231
"41",99,5073,"32S43M",130
"42",163,5276,"3S72M",194
"43",163,5417,"22S53M",422
"44",99,5800,"49S26M",143
"45",163,5752,"4S71M",219
"46",163,5748,"3S72M",340
"47",99,5919,"4S71M",177
"48",163,5950,"3S72M",178
"49",163,5843,"7S68M",358
"50",163,5904,"10S65M",369
"51",163,6075,"4S71M",220
"52",163,5942,"3S72M",386
"53",99,6222,"31S44M",218
"54",163,6277,"4S71M",234
"55",163,6202,"19S56M",310
"56",163,6223,"32S43M",422
"57",99,6514,"4S71M",181
"58",163,6673,"17S58M",233
"59",163,6673,"8S67M",234
"60",163,7056,"42S33M",137
"61",163,6837,"12S63M",422
"62",163,7028,"1S74M",422
"63",163,7414,"31S44M",186
"64",99,7516,"4S71M",191
"65",163,7419,"7S68M",341
"66",163,7619,"6S69M",153
"67",163,7701,"4S71M",258
"68",163,7962,"19S56M",176
"69",99,8332,"4S71M",180
"70",163,8105,"6S69M",422
"71",163,8263,"10S65M",384
"72",99,8740,"47S28M",134
"73",99,8683,"4S71M",209
"74",99,8734,"4S71M",185
"75",99,9019,"14S61M",153
"76",163,8976,"4S71M",306
"77",163,9399,"9S66M",174
"78",163,9572,"2S73M",212
"79",99,9737,"32S43M",166
"80",99,9954,"32S43M",174
"81",163,9998,"7S68M",160
"82",99,10242,"32S43M",188
"83",163,10296,"14S61M",237
"84",163,10618,"17S58M",147
"85",163,15186,"4S71M",332
"86",163,15354,"2S73M",169
"87",163,15537,"1S74M",266
"88",163,15617,"4S71M",343
"89",163,16024,"31S44M",207
"90",99,16129,"31S44M",239
